English word	English variant	Diné variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
abiotic factor			ááhoo'níił nayiiłnání	Any non living factor that impacts an ecosystem. For example, temperature.	Ááhoo'nííł éí bee hahodilyaii t'áá ałtso nahasdzáán dóó yádiłhił bii' siláhígíí ahił nidaalnishgo nináháhááhígíí éí nayiił'ná hadoh dóó hak'az ádaat'éii.					Plant growth can be affected by abiotic factors like sunlight, water, and temperature.					
ABO blood type			dił ał'ąą ádaat'éhígíí	A system used to group human blood into different types, based on the presence or absence of certain characteristics on the surface of red blood cells. The four main blood types are A, B, O, and AB	Bíla'ashdla'ii bidił bee bééhózindooígíí ádaalyaa. Hadił łichíí'ígíí bikáá'gónaa áhoot'éhígíí bik'ehgo háidígííshį́į́ hadił A, B, O, doodago AB.					If you have surgery, it is important to know your blood type. If you lose a lot of blood, doctors find a match for your ABO blood type so that your body accepts the donated blood. 					
acid			atsiniltł'ish bilááh éí doodago bi'oh ábóodziil	A substance that becomes more positively or negatively charged during a chemical reaction and releases hydrogen ions when dissolved in water.	Ha'át'íi da bitsiniltł'ish bilááh éí doodago a'oh yileehgo taah ji'áahgo níłch'i hydrogen bitsiniltł'ish hólǫ́ǫgo bits'á shígish.	sour				An acid - like lemon juice or  vinegar - is useful in a marinade because it breaks down the tissue and allows flavor and oil to enter.					
adaptation			bił ho'dizhchíinii bee jíłdzilígíí	A heritable trait that increases the fitness of an individual with that trait compared to individuals without that trait in a particular environment.	Bee ájít'éii bił ho'dizhchínígíí ła' bee hadziilgo jiinánígíí hái da nááná ła' ákót'éhígíí doo bił yizhchínígíí bił ałch'į' naa'nil aheełt'éego haz'ą́ągi haalzííd.					The Jackrabbit's large ears are an adaptation that helps them hear better and stay cool in the hot desert. 					
adult			hináanii oochííł yaa ninísą́	An organism that has reached sexual maturity.	Bíla'ashdla'ii oochííł yaa ninísą́ągo yaa hóyánígíí.				hináanii	A cat is an adult once it can have kittens.					
agriculture			kʼééʼdílyééh	The art, science, or practice of cultivating the soil, growing crops, and raising livestock	Dá'ák'eh, k'eelyéí, daneest'áanii, dóó iiná naalyé bíhoo'ą́ą́'	kʼééʼdílyééh= planting/agriculture	this applies to all types of vegetation. Word will change If start talking about specific planting of something ie "plant corn, kil dilyeeh"			Successful agriculture depends on farmers knowing the right time of year to plant their seeds, the correct soil, and how much water their plants need to grow.					
algae			tátłʼid	Unicellular or multicellular organisms occurring in fresh or salt water or moist ground, that have chlorophyll and other pigments but lack true stems, roots, and leaves	Tátł'id éí táyi' éí doodago hoditłéé'góó dahólǫ́ bits'íís bitł'óól t'áá łá'í éí doodago łą́ áádóó dootł'izh łeh éí doodago t'áá łahgo ánoolnin łeh.	łʼid= smoke , tá= under. =under water smoke type of thing/describing the hazyness of how it looks. 				Algae can grow as single cells or large green clumps and sometimes appear to cover the entire water surface if enough of them grow. They are similar to plants because they also use the sun to make their own food. 					
allele			bik'ehgo náás oochíiłii ał'ąą át'é	A particular version of a gene.	Bik'ehgo náás oochíił'ii łahgo át'éhígíí.					You have two copies of each gene in your genome.  If the copies are different, you have two alleles of that gene.					
amino acid			ats'íís bee nihwiileehii bá siléíí	The building block of protein. There are ą) amino acides, and each is specified by a DNA segment of three nucleotides (bases).	Ats'íís bee haleehii  naadiin ał'ąą ánéelt'e' éí ats'íís bitł'óól yee naalnishgo bee ats'íís hodooleeł dóó áadi hasht'éé yoodlííł.  Iiná bitł'óól, DNA, bee bóhólnííh éí bik'ehgo náás oochíiiłii táa'go bita'góó daníjaa'.					Different kinds of amino acids create proteins of many shapes and functions, just as different kinds of building materials can be used to make anything from a castle to a school to a shed.					
amphibian			biyáázh tsʼǫʼasánígíí	A vertebrate animal whose internal temperature depends on the environment (ectotherm). Most live in the water when young and live on land as adults. Examples include frogs, toads, and salamanders.	Dahináanii bíígháán dahólónígíí  éí binaagóó áhoot'éhígíí binahjį' bits'íís sidoh dóó sik'azígíí éí (ectotherm wolyé). Yichííhgo táyi' naaleeh áádóó dahdínísééh dóó éí dóó  tábąąhdi dóó łeeshtahdi dahiná. Ch'ał ádaat'éii  dóó salamanders ááł ha'ní.	someone's baby		ectotherm, organism, vertebrate		Frogs are amphibians that live as tadpoles in the water when they are young, and are able to walk on land as an adult after they grow legs.					
